date,city,weekdays,high_temp,low_temp,weather,w_direct,w_force
2012/5/15,北京,星期二,27,13,多云~晴,北风~微风,3-4级~小于3级
2012/5/16,北京,星期三,27,14,多云~晴,北风,3-4级
2012/5/17,北京,星期四,30,15,晴,北风~微风,3-4级~小于3级
2012/5/18,北京,星期五,32,18,晴~雷阵雨,南风~微风,3-4级~小于3级
2012/5/19,北京,星期六,29,18,雷阵雨,南风,小于3级
2012/5/20,北京,星期日,27,16,雷阵雨~多云,微风,小于3级
2012/5/21,北京,星期一,29,17,多云~阴,微风,小于3级
2012/5/22,北京,星期二,27,20,阴,微风,小于3级
2012/5/23,北京,星期三,27,17,多云,微风,小于3级
2012/5/24,北京,星期四,29,18,多云~晴,微风,小于3级
2012/5/25,北京,星期五,27,16,多云,微风,小于3级
2012/5/26,北京,星期六,33,15,阴~晴,微风,小于3级
2012/5/27,北京,星期日,34,19,晴,微风,小于3级
2012/5/28,北京,星期一,33,23,晴~多云,南风~微风,3-4级~小于3级
2012/5/29,北京,星期二,28,22,阴~雷阵雨,微风,小于3级
2012/5/30,北京,星期三,27,15,阴~多云,微风,小于3级
2012/5/31,北京,星期四,27,14,多云~阴,微风,小于3级
2012/6/1,北京,星期五,27,17,雷阵雨~阴,微风,小于3级
2012/6/2,北京,星期六,28,16,多云~雷阵雨,微风,小于3级
2012/6/3,北京,星期日,25,17,雷阵雨~中雨,微风,小于3级
2012/6/4,北京,星期一,33,16,阴~晴,微风,小于3级
2012/6/5,北京,星期二,32,19,多云,微风,小于3级
2012/6/6,北京,星期三,31,20,多云~雷阵雨,微风,小于3级
2012/6/7,北京,星期四,32,20,雷阵雨~多云,微风,小于3级
2012/6/8,北京,星期五,33,21,多云,微风,小于3级
2012/6/9,北京,星期六,32,22,多云~雷阵雨,微风,小于3级
2012/6/10,北京,星期日,29,18,雷阵雨~多云,微风~北风,小于3级~3-4级
2012/6/11,北京,星期一,32,15,晴~多云,微风,小于3级
2012/6/12,北京,星期二,29,18,多云~阴,微风,小于3级
2012/6/13,北京,星期三,26,18,阴~雷阵雨,微风,小于3级
2012/6/14,北京,星期四,26,17,雷阵雨~阴,微风,小于3级
2012/6/15,北京,星期五,30,17,阴~多云,微风,小于3级
2012/6/16,北京,星期六,34,17,多云~晴,微风,小于3级
2012/6/17,北京,星期日,38,22,晴~多云,微风,小于3级
2012/6/18,北京,星期一,37,24,晴,微风,小于3级
2012/6/19,北京,星期二,33,23,多云,微风,小于3级
2012/6/20,北京,星期三,33,23,阴,微风,小于3级
2012/6/21,北京,星期四,32,22,阴~多云,微风,小于3级
2012/6/22,北京,星期五,32,22,阴~多云,微风,小于3级
2012/6/23,北京,星期六,31,22,阴~多云,微风,小于3级
2012/6/24,北京,星期日,27,22,雷阵雨~中雨,微风,小于3级
2012/6/25,北京,星期一,28,20,雷阵雨~多云,微风,小于3级
2012/6/26,北京,星期二,27,22,雾~阴,微风,小于3级
2012/6/27,北京,星期三,27,22,阴~多云,微风,小于3级
2012/6/28,北京,星期四,25,21,阵雨~中雨,微风,小于3级
2012/6/29,北京,星期五,27,20,中雨~多云,微风,小于3级
2012/6/30,北京,星期六,33,19,多云,微风,小于3级
2012/7/1,北京,星期日,35,22,晴~阴,微风,小于3级
2012/7/2,北京,星期一,33,23,多云~晴,微风,小于3级
2012/7/3,北京,星期二,35,23,晴~多云,微风,小于3级
2012/7/4,北京,星期三,30,24,多云~雷阵雨,微风,小于3级
2015/5/20,广州,星期三,29,23,大到暴风雨,微风,小于3级
2012/7/6,北京,星期五,32,22,阴~多云,微风,小于3级
2012/7/7,北京,星期六,29,22,雷阵雨,微风,小于3级
2012/7/8,北京,星期日,30,23,雷阵雨~阴,微风,小于3级
2012/7/9,北京,星期一,31,24,雷阵雨~阴,微风,小于3级
2012/7/10,北京,星期二,32,22,中雨~雷阵雨,微风,小于3级
2012/7/11,北京,星期三,34,23,雷阵雨~多云,微风,小于3级
2012/7/12,北京,星期四,32,22,雷阵雨,微风,小于3级
2012/7/13,北京,星期五,30,22,阵雨~阴,微风,小于3级
2012/7/14,北京,星期六,31,22,阴~多云,微风,小于3级
2012/7/15,北京,星期日,33,21,多云~晴,微风,小于3级
2012/7/16,北京,星期一,34,22,晴,微风,小于3级
2012/7/17,北京,星期二,34,23,晴,微风,小于3级
2012/7/18,北京,星期三,32,23,晴~多云,微风,小于3级
2012/7/19,北京,星期四,32,23,多云,微风,小于3级
2012/7/20,北京,星期五,34,25,多云,微风,小于3级
2012/7/21,北京,星期六,31,26,多云~雷阵雨,微风,小于3级
2012/7/22,北京,星期日,31,23,暴风雨~多云,微风,小于3级
2012/7/23,北京,星期一,33,22,晴,微风,小于3级
2012/7/24,北京,星期二,30,24,多云~阴,微风,小于3级
2012/7/25,北京,星期三,29,24,阴~雷阵雨,微风,小于3级
2012/7/26,北京,星期四,28,23,大雨,微风,小于3级
2012/7/27,北京,星期五,29,24,阵雨~雷阵雨,微风,小于3级
2012/7/28,北京,星期六,27,24,中雨~大雨,微风,小于3级
2012/7/29,北京,星期日,34,23,晴,微风,小于3级
2012/7/30,北京,星期一,32,23,晴~多云,微风,小于3级
2012/7/31,北京,星期二,25,22,中雨~大雨,微风,小于3级
2012/8/1,北京,星期三,24,19,小雨,微风,小于3级
2012/8/2,北京,星期四,27,21,阴~多云,微风,小于3级
2012/8/3,北京,星期五,28,23,多云~阴,微风,小于3级
2012/8/4,北京,星期六,27,23,阴,微风,小于3级
2012/8/5,北京,星期日,31,23,阴,微风,小于3级
2012/8/6,北京,星期一,32,24,多云,微风,小于3级
2012/8/7,北京,星期二,32,24,多云~阴,微风,小于3级
2012/8/8,北京,星期三,29,25,雷阵雨~阵雨,微风,小于3级
2012/8/9,北京,星期四,32,24,阴~多云,微风,小于3级
2012/8/10,北京,星期五,33,22,晴,微风,小于3级
